epoch,aptitude,team_name,starter,pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
0,371,Random 71,3,Unfezant,Infernape,Magmortar,Phantump,Fearow,Abomasnow
0,612,Random 99,5,Bisharp,Seaking,Zigzagoon,Weezing,Kricketot,Vanillish
0,622,Team 65,0,Scyther,Gurdurr,Accelgor,Lucario,Flareon,Raichu
0,624,Random 81,4,Shinx,Flareon,Alakazam,Nosepass,Abomasnow,Banette
0,625,Team 54,0,Phanpy,Magnemite,Spritzee,Florges,Sawsbuck,Ribombee
0,626,Random 74,4,Kricketune,Crabominable,Lairon,Butterfree,Exeggutor,Chandelure
0,626,Random 96,0,Jellicent,Venusaur,Braixen,Slowking,Donphan,Dwebble
0,627,Team 47,0,Torterra,Stunky,Scrafty,Gumshoos,Taillow,Whirlipede
0,632,Random 55,5,Skiploom,Purrloin,Rowlet,Treecko,Spheal,Poliwag
0,650,Random 76,1,Togetic,Seismitoad,Beautifly,Solrock,Gothitelle,Scizor
0,656,Team 27,1,Mankey,Wormadam,Salamence,Froslass,Qwilfish,Delphox
0,656,Random 87,3,Flabebe,Mawile,Rapidash,Sigilyph,Marowak,Sunflora
0,659,Random 52,0,Yanma,Solosis,Infernape,Cloyster,Archen,Tynamo
0,668,Random 66,0,Wigglytuff,Anorith,Druddigon,Golurk,Lurantis,Tyrogue
0,669,Team 20,2,Heracross,Bayleef,Cloyster,Nidorina,Gourgeist,Prinplup
0,677,Team 22,4,Swoobat,Clefable,Swalot,Ampharos,Magnezone,Munchlax
0,689,Team 78,1,Ampharos,Furret,Ludicolo,Dragonite,Oranguru,Klefki
0,691,Team 66,4,Shinx,Vibrava,Corsola,Steelix,Treecko,Cyndaquil
0,697,Team 46,3,Floatzel,Zubat,Pansear,Raticate,Skuntank,Charjabug
0,697,Team 24,5,Braixen,Ariados,Inkay,Unown,Salazzle,Graveler
0,710,Team 67,0,Drifloon,Seismitoad,Infernape,Wishiwashi,Scraggy,Zigzagoon
0,720,Team 25,4,Tepig,Swablu,Baltoy,Surskit,Klink,Gliscor
0,727,Team 80,0,Heatmor,Rampardos,Togedemaru,Cutiefly,Shelgon,Anorith
0,749,Random 84,0,Oricorio,Krabby,Pupitar,Zigzagoon,Incineroar,Dewott
0,768,Random 80,2,Bouffalant,Pidgey,Watchog,Kommo-o,Furret,Croagunk
0,772,Random 61,2,Carbink,Nidoqueen,Stoutland,Kirlia,Rowlet,Snubbull
0,779,Random 67,0,Shedinja,Vivillon,Metagross,Solrock,Shiftry,Buizel
0,781,Team 34,4,Vibrava,Goodra,Eelektross,Helioptile,Spheal,Wartortle
0,791,Random 86,2,Charmander,Brionne,Servine,Arbok,Mawile,Miltank
0,799,Team 43,2,Scrafty,Archeops,Delibird,Swellow,Tentacruel,Sableye
0,806,Random 54,2,Liepard,Combee,Starly,Shiinotic,Mandibuzz,Minccino
0,807,Team 64,1,Lucario,Scrafty,Tangrowth,Cinccino,Gastrodon,Ivysaur
0,812,Team 13,3,Crabrawler,Ampharos,Lombre,Jolteon,Persian,Ninjask
0,812,Team 48,0,Croconaw,Drampa,Shiinotic,Escavalier,Noibat,Skitty
0,813,Team 10,4,Roserade,Forretress,Frogadier,Jumpluff,Flaaffy,Luxray
0,820,Team 69,0,Alakazam,Quilladin,Corphish,Froslass,Nincada,Trevenant
0,823,Team 39,1,Turtonator,Swablu,Honchkrow,Froslass,Machoke,Lilligant
0,828,Team 5,4,Toxicroak,Granbull,Swinub,Bunnelby,Alomomola,Happiny
0,829,Team 95,0,Venusaur,Greninja,Porygon,Tepig,Nidoqueen,Baltoy
0,836,Random 93,2,Dwebble,Floette,Seaking,Shellos,Pidgeotto,Cleffa
0,837,Random 91,4,Zorua,Jolteon,Snorlax,Vanillish,Archen,Archeops
0,838,Team 37,5,Bruxish,Unown,Litten,Sandshrew,Magmortar,Bulbasaur
0,845,Random 68,3,Vulpix,Buizel,Onix,Golisopod,Ambipom,Golbat
0,849,Team 68,5,Comfey,Rhyperior,Clawitzer,Totodile,Goodra,Audino
0,851,Team 61,2,Spiritomb,Furfrou,Slakoth,Walrein,Goomy,Masquerain
0,863,Random 98,4,Burmy,Igglybuff,Abomasnow,Krookodile,Klang,Tympole
0,870,Team 84,2,Metang,Swinub,Walrein,Sandshrew,Butterfree,Medicham
0,872,Team 23,1,Meowstic-F,Swoobat,Lilligant,Electivire,Tyranitar,Salamence
0,876,Team 91,3,Hippopotas,Durant,Tynamo,Electabuzz,Dragalge,Magmortar
0,885,Team 19,1,Oddish,Volbeat,Bergmite,Tyrunt,Pignite,Rapidash
0,887,Random 79,4,Gligar,Popplio,Mantyke,Tangela,Lickilicky,Hippowdon
0,897,Team 21,5,Beedrill,Togekiss,Elekid,Sewaddle,Gloom,Druddigon
0,902,Random 58,5,Teddiursa,Greninja,Krookodile,Archen,Kadabra,Magcargo
0,903,Random 64,0,Primeape,Medicham,Dusclops,Tentacool,Claydol,Gulpin
0,906,Team 42,4,Staravia,Furfrou,Slowbro,Beldum,Sandshrew,Drifloon
0,919,Random 65,2,Vivillon,Forretress,Monferno,Makuhita,Mimikyu,Riolu
0,923,Team 93,0,Roserade,Luxray,Musharna,Luxio,Rhyhorn,Staravia
0,924,Random 78,1,Primarina,Grimer,Steenee,Heracross,Leavanny,Dhelmise
0,955,Team 28,1,Skuntank,Gogoat,Mr. Mime,Sewaddle,Charjabug,Golbat
0,962,Random 69,1,Igglybuff,Seadra,Yanma,Scatterbug,Clefable,Haxorus
0,970,Random 95,3,Golduck,Hitmonchan,Gothorita,Delphox,Serperior,Golurk
0,987,Team 1,5,Aurorus,Gardevoir,Sigilyph,Togepi,Azurill,Dugtrio
1,232,Random 57,1,Pidgeotto,Magnezone,Solrock,Shellos,Exeggutor,Pawniard
1,264,Random 80,4,Scraggy,Pyroar,Beartic,Mime Jr.,Gumshoos,Nidoran-F
1,296,Random 60,5,Misdreavus,Jigglypuff,Metagross,Finneon,Gloom,Starmie
1,296,Random 79,2,Gothitelle,Milotic,Vullaby,Psyduck,Pachirisu,Stufful
1,313,Team 58,1,Luxray,Emboar,Barboach,Magnezone,Gastrodon,Ivysaur
1,317,Random 95,4,Golduck,Flareon,Alakazam,Nosepass,Abomasnow,Banette
1,338,Random 91,3,Gothitelle,Bastiodon,Serperior,Meowstic-F,Noctowl,Goodra
1,339,Random 53,1,Piloswine,Linoone,Braviary,Espeon,Scrafty,Serperior
1,368,Random 59,0,Malamar,Greninja,Porygon,Tepig,Nidoqueen,Baltoy
1,655,Random 77,0,Gogoat,Foongus,Tyrantrum,Florges,Sawsbuck,Ribombee
1,656,Random 97,3,Forretress,Grimer,Lotad,Togedemaru,Sunkern,Cutiefly
1,661,Team 54,0,Phanpy,Magnemite,Spritzee,Lairon,Rhydon,Emolga
1,663,Team 44,5,Tynamo,Espeon,Snivy,Skuntank,Cherubi,Doduo
1,669,Team 10,4,Roserade,Mamoswine,Granbull,Unfezant,Spheal,Steenee
1,671,Random 75,1,Boldore,Krokorok,Eevee,Empoleon,Pelipper,Minior
1,673,Random 87,1,Flabebe,Mawile,Rapidash,Sigilyph,Machoke,Lilligant
1,681,Team 20,2,Heracross,Bayleef,Cloyster,Nidorina,Gourgeist,Prinplup
1,684,Team 39,3,Turtonator,Swablu,Honchkrow,Froslass,Marowak,Sunflora
1,697,Random 84,2,Jellicent,Magmar,Banette,Luvdisc,Durant,Solosis
1,698,Team 8,4,Gible,Forretress,Frogadier,Jumpluff,Flaaffy,Luxray
1,698,Random 99,5,Ferrothorn,Girafarig,Togedemaru,Trapinch,Swirlix,Pachirisu
1,701,Random 50,3,Bellossom,Pelipper,Natu,Chansey,Bruxish,Hitmonchan
1,712,Team 64,1,Lucario,Scrafty,Tangrowth,Cinccino,Snorlax,Nuzleaf
1,724,Random 65,1,Crobat,Inkay,Golisopod,Meganium,Skorupi,Araquanid
1,729,Team 91,0,Hippopotas,Luxray,Musharna,Luxio,Rhyhorn,Staravia
1,731,Random 94,3,Chinchou,Munchlax,Breloom,Spiritomb,Skuntank,Charjabug
1,744,Random 98,2,Taillow,Heatmor,Lotad,Krookodile,Bastiodon,Blastoise
1,747,Team 18,3,Tentacool,Steelix,Doublade,Goodra,Lanturn,Nidoqueen
1,749,Random 52,5,Mudbray,Rapidash,Rotom,Archeops,Bergmite,Turtonator
1,750,Random 70,1,Victreebel,Cubchoo,Beedrill,Seedot,Makuhita,Binacle
1,755,Random 51,5,Stunfisk,Raticate,Pignite,Skrelp,Binacle,Poliwhirl
1,763,Random 86,2,Charmander,Brionne,Servine,Arbok,Mawile,Miltank
1,765,Random 66,1,Crawdaunt,Cacturne,Hypno,Shroomish,Munna,Tyranitar
1,770,Random 83,4,Combee,Silvally,Lurantis,Staryu,Blissey,Poliwhirl
1,777,Team 46,1,Floatzel,Zubat,Pansear,Raticate,Wailord,Kommo-o
1,778,Random 62,2,Seaking,Galvantula,Octillery,Weezing,Dusknoir,Sentret
1,781,Team 21,4,Beedrill,Empoleon,Golett,Salandit,Wailord,Crawdaunt
1,788,Random 61,0,Carbink,Nidoqueen,Stoutland,Kirlia,Aromatisse,Typhlosion
1,789,Random 92,2,Mienfoo,Sliggoo,Masquerain,Sigilyph,Rowlet,Snubbull
1,789,Random 76,5,Togetic,Seismitoad,Beautifly,Solrock,Gothitelle,Dugtrio
1,795,Team 28,1,Skuntank,Grimer,Steenee,Heracross,Leavanny,Dhelmise
1,796,Random 68,3,Vulpix,Buizel,Onix,Golisopod,Ambipom,Golbat
1,796,Random 77,3,Morelull,Sceptile,Golurk,Gulpin,Reuniclus,Minccino
1,798,Random 75,0,Weepinbell,Vikavolt,Solrock,Jellicent,Mandibuzz,Diglett
1,801,Team 13,3,Crabrawler,Ampharos,Lombre,Jolteon,Persian,Dedenne
1,801,Random 87,4,Magcargo,Nidorino,Delcatty,Tsareena,Sudowoodo,Spiritomb
1,804,Team 38,2,Hypno,Yamask,Klefki,Noctowl,Hydreigon,Dusclops
1,804,Random 78,1,Primarina,Gogoat,Mr. Mime,Sewaddle,Charjabug,Golbat
1,810,Team 43,3,Scrafty,Archeops,Delibird,Swellow,Tentacruel,Growlithe
1,815,Random 86,1,Spiritomb,Hitmonchan,Gothitelle,Marshtomp,Pidgeot,Arcanine
1,822,Random 85,3,Kadabra,Volcarona,Altaria,Floette,Crawdaunt,Clefable
1,829,Random 56,3,Luxray,Rotom,Garbodor,Ninetales,Nincada,Ninjask
1,831,Random 82,2,Carvanha,Pidgey,Tangela,Greninja,Oddish,Sableye
1,833,Random 94,0,Alakazam,Squirtle,Bronzong,Beldum,Lilligant,Jellicent
1,839,Team 79,5,Slugma,Shiftry,Wailord,Morelull,Dragonair,Heliolisk
1,839,Random 76,2,Gliscor,Purrloin,Pelipper,Cottonee,Diglett,Aegislash
1,841,Random 61,3,Avalugg,Turtonator,Mightyena,Kadabra,Shiftry,Emboar
1,847,Random 92,4,Pidgey,Charjabug,Mareep,Jumpluff,Magneton,Bouffalant
1,852,Team 0,5,Volcarona,Togekiss,Elekid,Sewaddle,Gloom,Druddigon
1,855,Random 78,5,Braixen,Crabominable,Combusken,Weezing,Metapod,Steenee
1,860,Random 68,1,Rowlet,Zubat,Toxicroak,Altaria,Girafarig,Persian
1,862,Team 98,0,Snorlax,Scrafty,Aipom,Pikachu,Nincada,Trevenant
1,864,Team 69,1,Alakazam,Quilladin,Corphish,Froslass,Bulbasaur,Typhlosion
1,871,Random 96,0,Jellicent,Venusaur,Toxapex,Linoone,Sneasel,Zangoose
1,873,Random 81,3,Shinx,Hitmonchan,Gothorita,Delphox,Serperior,Golurk
1,874,Random 82,2,Jellicent,Lanturn,Kangaskhan,Riolu,Larvitar,Avalugg
1,883,Team 22,4,Swoobat,Clefable,Swalot,Ampharos,Kricketot,Gengar
1,885,Random 85,3,Wishiwashi,Poliwrath,Sableye,Scatterbug,Delcatty,Florges
1,886,Random 56,5,Snover,Charizard,Emboar,Cranidos,Musharna,Bruxish
1,894,Random 88,4,Pidove,Froslass,Mantine,Gliscor,Magnezone,Munchlax
1,900,Team 78,5,Ampharos,Furret,Ludicolo,Dragonite,Oranguru,Magcargo
1,901,Random 58,1,Teddiursa,Greninja,Krookodile,Archen,Kadabra,Klefki
1,903,Random 72,0,Jellicent,Relicanth,Braixen,Slowking,Donphan,Dwebble
1,905,Random 71,5,Darmanitan,Sandile,Meganium,Lurantis,Pelipper,Tirtouga
1,908,Random 71,3,Unfezant,Infernape,Magmortar,Phantump,Fearow,Abomasnow
1,912,Team 95,1,Venusaur,Mienshao,Pidgeot,Weavile,Honedge,Kadabra
1,914,Random 96,1,Gardevoir,Cacnea,Dugtrio,Pineco,Electivire,Tropius
1,917,Random 72,4,Kingler,Remoraid,Treecko,Scatterbug,Nincada,Bidoof
1,918,Random 73,0,Gengar,Vivillon,Metagross,Solrock,Shiftry,Buizel
1,920,Random 67,5,Shedinja,Spiritomb,Gabite,Kabuto,Magmar,Simipour
1,920,Random 88,4,Oricorio,Noctowl,Flaaffy,Tentacool,Haunter,Quilava
1,929,Random 58,0,Steelix,Steenee,Onix,Doublade,Trumbeak,Talonflame
1,931,Random 81,2,Vulpix,Emboar,Beedrill,Camerupt,Breloom,Buneary
1,945,Random 73,1,Porygon2,Pangoro,Inkay,Dunsparce,Snorunt,Marowak
1,945,Random 95,2,Petilil,Kadabra,Dragalge,Vanillite,Espeon,Flabebe
1,962,Random 67,0,Herdier,Krabby,Chesnaught,Noibat,Tangrowth,Maractus
1,966,Random 59,3,Goomy,Empoleon,Rockruff,Vullaby,Darmanitan,Jynx
1,968,Random 63,1,Gurdurr,Pansage,Metagross,Electivire,Tyranitar,Salamence
1,981,Random 63,0,Kricketune,Garchomp,Qwilfish,Pansear,Bunnelby,Drapion
1,986,Team 23,5,Meowstic-F,Swoobat,Lilligant,Kangaskhan,Ivysaur,Skrelp
2,217,Random 75,4,Delphox,Jangmo-o,Golurk,Crawdaunt,Popplio,Sawsbuck
2,242,Random 66,5,Seaking,Swampert,Dratini,Lillipup,Marshtomp,Onix
2,269,Team 10,3,Roserade,Mamoswine,Granbull,Unfezant,Spheal,Dedenne
2,284,Random 84,5,Ledian,Altaria,Flabebe,Swirlix,Trumbeak,Unown
2,296,Random 83,2,Primeape,Oshawott,Carracosta,Spewpa,Froslass,Bronzong
2,334,Random 94,2,Dunsparce,Jigglypuff,Vigoroth,Sableye,Scolipede,Timburr
2,346,Random 63,1,Gurdurr,Pansage,Metagross,Electivire,Tyranitar,Salamence
2,351,Random 63,0,Kricketune,Garchomp,Porygon,Tepig,Nidoqueen,Baltoy
2,373,Random 95,1,Golduck,Flareon,Alakazam,Nosepass,Abomasnow,Klefki
2,390,Random 74,0,Charmeleon,Crabominable,Metagross,Electabuzz,Carvanha,Zangoose
2,634,Random 97,1,Happiny,Ledian,Gulpin,Bidoof,Absol,Sandile
2,650,Random 90,5,Milotic,Tepig,Excadrill,Deino,Pineco,Electrike
2,671,Random 51,0,Bisharp,Persian,Slurpuff,Zubat,Masquerain,Basculin
2,692,Random 99,1,Spearow,Gorebyss,Pidove,Tranquill,Gabite,Claydol
2,697,Random 98,2,Taillow,Yamask,Klefki,Noctowl,Hydreigon,Dusclops
2,700,Random 79,3,Quilladin,Magby,Qwilfish,Whimsicott,Omanyte,Roselia
2,704,Random 88,3,Nosepass,Avalugg,Parasect,Gurdurr,Nidorina,Fraxure
2,708,Random 65,5,Crobat,Inkay,Golisopod,Meganium,Skorupi,Heliolisk
2,711,Random 76,4,Buneary,Electrode,Palossand,Jellicent,Cinccino,Klinklang
2,726,Random 64,1,Blaziken,Barbaracle,Machop,Gothitelle,Bruxish,Staraptor
2,728,Random 70,5,Nidoking,Vulpix,Grimer,Bruxish,Linoone,Squirtle
2,731,Random 85,5,Jynx,Mienshao,Weedle,Lickitung,Kricketune,Chatot
2,740,Random 58,4,Skarmory,Weepinbell,Pidgeotto,Marshtomp,Togetic,Conkeldurr
2,744,Random 89,5,Beedrill,Politoed,Mothim,Slowpoke,Milotic,Mienshao
2,748,Random 87,2,Flabebe,Pidgey,Tangela,Greninja,Oddish,Sableye
2,757,Random 69,5,Phantump,Bunnelby,Pikipek,Sawsbuck,Shiinotic,Electrike
2,757,Random 87,2,Mimikyu,Munna,Turtonator,Inkay,Flabebe,Incineroar
2,759,Random 57,5,Illumise,Starly,Jumpluff,Banette,Ribombee,Lopunny
2,761,Random 56,3,Snover,Charizard,Emboar,Cranidos,Musharna,Golbat
2,763,Random 54,1,Joltik,Gogoat,Mr. Mime,Sewaddle,Charjabug,Golbat
2,770,Random 86,3,Spiritomb,Hitmonchan,Gothitelle,Marshtomp,Serperior,Golurk
2,776,Random 59,0,Malamar,Greninja,Qwilfish,Pansear,Bunnelby,Drapion
2,776,Random 71,5,Darmanitan,Togekiss,Elekid,Sewaddle,Gloom,Druddigon
2,779,Random 96,1,Jellicent,Venusaur,Toxapex,Linoone,Sneasel,Bayleef
2,787,Random 73,0,Scatterbug,Heatmor,Arcanine,Primarina,Wurmple,Mismagius
2,793,Random 68,3,Ducklett,Scolipede,Magnemite,Forretress,Krokorok,Trapinch
2,795,Random 96,1,Gardevoir,Cacnea,Dugtrio,Pineco,Electivire,Tropius
2,796,Random 80,4,Scraggy,Pyroar,Beartic,Mime Jr.,Gumshoos,Nidoran-F
2,797,Random 78,5,Primarina,Gogoat,Pidgey,Nincada,Fletchinder,Excadrill
2,798,Random 93,0,Gligar,Seismitoad,Masquerain,Honedge,Houndoom,Roselia
2,802,Random 59,3,Miltank,Roserade,Vulpix,Lucario,Pikachu,Stunky
2,802,Random 61,3,Corsola,Quilava,Lickilicky,Primeape,Gligar,Horsea
2,803,Random 54,0,Chatot,Nidoqueen,Incineroar,Dedenne,Paras,Ribombee
2,805,Team 13,4,Crabrawler,Ampharos,Lombre,Jolteon,Persian,Steenee
2,822,Team 1,3,Aurorus,Gardevoir,Sigilyph,Togepi,Reuniclus,Minccino
2,825,Random 82,1,Carvanha,Mawile,Rapidash,Sigilyph,Machoke,Lilligant
2,828,Random 65,1,Charmeleon,Type: Null,Smoochum,Toxapex,Carracosta,Clamperl
2,831,Random 85,0,Kadabra,Scrafty,Aipom,Pikachu,Nincada,Trevenant
2,838,Random 80,1,Fletchinder,Sealeo,Electabuzz,Floatzel,Morelull,Pignite
2,840,Random 96,0,Cyndaquil,Aegislash,Foongus,Diglett,Meowstic-M,Furfrou
2,844,Random 68,5,Vulpix,Buizel,Onix,Golisopod,Ambipom,Bruxish
2,846,Random 81,2,Floatzel,Barboach,Carbink,Trumbeak,Skuntank,Surskit
2,847,Random 52,5,Mudbray,Rapidash,Rotom,Archeops,Bergmite,Turtonator
2,848,Random 56,4,Cascoon,Tyranitar,Goomy,Bonsly,Nidoking,Murkrow
2,852,Team 93,4,Roserade,Durant,Tynamo,Electabuzz,Magnezone,Munchlax
2,852,Random 71,2,Wimpod,Frogadier,Whimsicott,Combee,Archeops,Oranguru
2,855,Team 43,3,Scrafty,Archeops,Delibird,Swellow,Tentacruel,Growlithe
2,858,Team 79,1,Slugma,Shiftry,Wailord,Morelull,Dragonair,Araquanid
2,858,Random 98,5,Oranguru,Sudowoodo,Mareanie,Aegislash,Vullaby,Whismur
2,860,Random 61,0,Carbink,Nidoqueen,Stoutland,Kirlia,Aromatisse,Typhlosion
2,864,Random 52,5,Staravia,Duskull,Zebstrika,Armaldo,Machamp,Skrelp
2,869,Random 77,1,Morelull,Sceptile,Golurk,Gulpin,Azurill,Scizor
2,872,Team 46,1,Floatzel,Zubat,Pansear,Raticate,Wailord,Buneary
2,877,Random 91,3,Gothitelle,Bastiodon,Serperior,Meowstic-F,Noctowl,Goodra
2,879,Team 0,5,Volcarona,Sandile,Meganium,Lurantis,Pelipper,Tirtouga
2,879,Random 77,0,Staravia,Gumshoos,Krabby,Vanillish,Kricketune,Xatu
2,886,Team 98,3,Snorlax,Volcarona,Altaria,Floette,Crawdaunt,Clefable
2,890,Team 69,1,Alakazam,Linoone,Braviary,Espeon,Scrafty,Serperior
2,890,Random 56,4,Luxray,Rotom,Garbodor,Ninetales,Fearow,Abomasnow
2,891,Random 58,4,Teddiursa,Greninja,Krookodile,Archen,Kadabra,Banette
2,891,Team 38,0,Hypno,Heatmor,Lotad,Krookodile,Bastiodon,Blastoise
2,893,Random 63,4,Dewgong,Amoonguss,Aggron,Purugly,Finneon,Crabominable
2,894,Team 21,3,Beedrill,Empoleon,Golett,Goodra,Lanturn,Nidoqueen
2,894,Random 88,3,Pidove,Froslass,Mantine,Gliscor,Dragalge,Magmortar
2,897,Team 78,5,Ampharos,Furret,Ludicolo,Dragonite,Oranguru,Magcargo
2,898,Team 18,4,Tentacool,Steelix,Doublade,Salandit,Wailord,Crawdaunt
2,909,Team 22,5,Swoobat,Jigglypuff,Metagross,Finneon,Gloom,Starmie
2,915,Random 86,2,Politoed,Pelipper,Corsola,Wormadam,Florges,Ledian
2,917,Random 59,3,Goomy,Empoleon,Rockruff,Vullaby,Darmanitan,Emboar
2,921,Random 91,2,Tyrogue,Shellder,Murkrow,Kangaskhan,Lickilicky,Sandslash
2,922,Random 71,3,Unfezant,Infernape,Magmortar,Phantump,Nincada,Ninjask
2,931,Random 53,2,Tsareena,Tepig,Doublade,Vigoroth,Purrloin,Tangrowth
2,932,Random 77,0,Gogoat,Foongus,Tyrantrum,Florges,Sawsbuck,Ribombee
2,943,Random 60,2,Aurorus,Zebstrika,Froakie,Gyarados,Amaura,Tranquill
2,951,Random 81,1,Shinx,Hitmonchan,Gothorita,Delphox,Pidgeot,Arcanine
2,951,Random 74,3,Farfetch'd,Gligar,Pignite,Munchlax,Primarina,Samurott
2,953,Random 60,4,Misdreavus,Clefable,Swalot,Ampharos,Kricketot,Gengar
2,953,Random 53,1,Piloswine,Quilladin,Corphish,Froslass,Bulbasaur,Typhlosion
2,967,Random 82,0,Cryogonal,Pawniard,Jynx,Abomasnow,Mudbray,Snivy
2,995,Random 82,2,Jellicent,Lanturn,Kangaskhan,Riolu,Larvitar,Avalugg
3,142,Random 50,3,Wailmer,Magby,Spewpa,Sandile,Cherrim,Drilbur
3,147,Random 53,0,Serperior,Skiploom,Shelgon,Snivy,Klinklang,Araquanid
3,148,Random 82,0,Treecko,Monferno,Chimecho,Sigilyph,Marshtomp,Piplup
3,161,Random 79,0,Goldeen,Buneary,Roggenrola,Ursaring,Palossand,Minior
3,174,Random 51,0,Bisharp,Persian,Slurpuff,Zubat,Masquerain,Basculin
3,186,Random 85,3,Jynx,Empoleon,Rockruff,Vullaby,Darmanitan,Emboar
3,193,Random 71,1,Unfezant,Emboar,Beedrill,Camerupt,Breloom,Kommo-o
3,219,Random 71,0,Darmanitan,Grumpig,Shellder,Petilil,Krookodile,Swirlix
3,220,Random 60,5,Haxorus,Pangoro,Gothita,Petilil,Avalugg,Salazzle
3,223,Random 73,2,Seaking,Hypno,Dwebble,Tranquill,Whismur,Rockruff
3,244,Random 54,5,Nidorina,Graveler,Delcatty,Swinub,Dewott,Feraligatr
3,275,Random 93,1,Haxorus,Seadra,Oranguru,Boldore,Staraptor,Sunkern
3,276,Team 43,3,Scrafty,Archeops,Delibird,Swellow,Tentacruel,Growlithe
3,281,Random 76,4,Koffing,Drifblim,Magnezone,Zorua,Crabrawler,Wailmer
3,297,Team 78,0,Ampharos,Garchomp,Porygon,Tepig,Nidoqueen,Baltoy
3,319,Random 89,1,Weezing,Dusclops,Paras,Croagunk,Magnezone,Vanillish
3,320,Team 22,5,Swoobat,Jigglypuff,Metagross,Finneon,Gloom,Starmie
3,327,Random 95,4,Golduck,Rotom,Garbodor,Ninetales,Fearow,Abomasnow
3,368,Random 91,3,Gothitelle,Bastiodon,Serperior,Meowstic-F,Noctowl,Goodra
3,370,Random 91,0,Crobat,Empoleon,Charjabug,Tentacool,Pelipper,Bounsweet
3,375,Random 57,4,Grumpig,Chinchou,Lopunny,Vivillon,Gigalith,Sewaddle
3,630,Random 78,2,Patrat,Zoroark,Alomomola,Victreebel,Porygon-Z,Throh
3,640,Random 95,2,Eevee,Cottonee,Tangela,Exeggutor,Mamoswine,Talonflame
3,640,Random 98,4,Delphox,Quilladin,Spinarak,Lickitung,Golurk,Pansear
3,652,Random 88,2,Huntail,Emolga,Voltorb,Skorupi,Ambipom,Rufflet
3,675,Random 58,2,Roselia,Espeon,Electrike,Pinsir,Snubbull,Plusle
3,694,Random 72,2,Cyndaquil,Tyrantrum,Sandile,Pumpkaboo,Gible,Timburr
3,702,Random 52,3,Wigglytuff,Gabite,Floatzel,Diggersby,Slaking,Salazzle
3,712,Random 83,0,Sandygast,Masquerain,Swellow,Ninetales,Dratini,Oshawott
3,713,Random 68,0,Abra,Slowking,Wigglytuff,Sewaddle,Taillow,Grubbin
3,714,Random 96,1,Chimecho,Arbok,Sudowoodo,Slowpoke,Dodrio,Crustle
3,719,Random 90,0,Aurorus,Azumarill,Woobat,Turtwig,Marill,Pupitar
3,725,Random 65,3,Slugma,Graveler,Nidoqueen,Bidoof,Cutiefly,Murkrow
3,728,Random 64,4,Blaziken,Barbaracle,Machop,Gothitelle,Mawile,Archeops
